i1,out_dayID,out_SHO,out_activity,out_yearID,out_monthID,out_hourID,out_stateID,out_countyID,out_sourceTypeID,out_roadTypeID,out_SCC,out_zoneID,out_linkID,out_regClassID,out_fuelSubTypeID,out_engTechID,out_sectorID,out_hpID,out_modelYearID,out_fuelTypeID,out_pollutantID,out_processID,out_emissionQuant,out_refuelingRate,out_chainedEnergy
17,5,164.72170300101715,32.94434060020343,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2004,1,1,18,25.432507429744085,0.36083204843095185,8314026.754338319
18,5,148.74713474802425,29.74942694960485,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2003,1,1,18,24.27119470200856,0.3816864001650497,7500872.955081433
19,5,118.52562992373574,23.70512598474715,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2002,1,1,18,20.346655995305817,0.40254075189914756,5962254.7804777175
20,5,94.5116320580201,18.90232641160402,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2001,1,1,18,17.11632914297898,0.4233951036332454,4768613.670448015
21,5,83.62548218400153,16.725096436800307,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2000,1,1,18,14.718552286546844,0.4233951036332454,4100592.4258953338
22,5,60.874080684058114,12.174816136811623,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1999,1,1,18,23.866575190621962,0.9417747038808201,2989306.341388468
23,5,46.82985881634186,9.365971763268373,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1998,1,1,18,38.23953257385005,1.978533904375969,2279798.269586059
24,5,36.74778034358123,7.349556068716247,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1997,1,1,18,45.58426441743036,3.0152931048711182,1783252.1568522104
25,5,26.865139913300695,5.373027982660139,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1996,1,1,18,33.81408414191865,3.0152931048711182,1322803.8062845564
26,5,25.04660490806586,5.009320981613172,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1995,1,1,18,31.148307917423022,3.0152931048711182,1218518.889926458
27,5,18.41216437802274,3.6824328756045484,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1994,1,1,18,23.079610362138,3.0152931048711182,902872.1968770834
28,5,15.146433442304176,3.029286688460835,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1993,1,1,18,18.720690404004856,3.0152931048711182,732351.6561548151
29,5,12.785088718582324,2.557017743716465,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1992,1,1,18,16.03655840661865,3.0152931048711182,627348.6636795271
30,5,12.603265015943999,2.5206530031887997,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991,1,1,18,15.372074734921615,3.0152931048711182,601354.1246452695
31,5,10.501237834887378,2.1002475669774756,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1990,1,1,18,13.453825188443577,3.0152931048711182,526312.3819550062
32,5,10.217773915995503,2.0435547831991006,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1989,1,1,18,13.049550743767625,3.0152931048711182,510497.2035235438
33,5,9.15454189972411,1.830908379944822,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1988,1,1,18,11.5910555830515,3.0152931048711182,453441.0093665304
34,5,9.00619255308734,1.801238510617468,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1987,1,1,18,11.27542103537829,3.0152931048711182,441093.4154082061
35,5,7.780739775004618,1.5561479550009236,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1986,1,1,18,9.88707568570655,3.0152931048711182,386781.4752925028
36,5,5.992761098455286,1.1985522196910572,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1985,1,1,18,8.414095665859787,3.0152931048711182,329158.63480223116
37,5,4.779871405562617,0.9559742811125235,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1984,1,1,18,6.697322445566334,3.0152931048711182,261998.62713204502
38,5,3.5629958872973577,0.7125991774594715,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1983,1,1,18,4.929583764321178,3.0152931048711182,192844.8554003215
39,5,2.6061493961116446,0.5212298792223289,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1982,1,1,18,3.417747912382606,3.0152931048711182,133701.9783959253
40,5,1.8323500164585729,0.3664700032917146,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1981,1,1,18,2.9501468411377707,3.0152931048711182,115409.46826111416
41,5,23.19180710506584,4.638361421013168,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1980,1,1,18,39.5602412133477,3.0152931048711182,1547592.933019248
42,5,260.05730384453915,52.01146076890783,2020,8,7,26,26161,21,4,2205210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020,5,1,18,0.0012904125827849964,0.0361,3064.436056096901
43,5,310.4463445557139,62.08926891114278,2020,8,7,26,26161,21,4,2205210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2019,5,1,18,0.0038606742697690306,0.056137889153408255,5895.7119772952965
44,5,327.8141613006279,65.56283226012559,2020,8,7,26,26161,21,4,2205210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2018,5,1,18,0.0046866944295605945,0.07617577830681652,5274.471071472951
45,5,368.3242419642923,73.66484839285846,2020,8,7,26,26161,21,4,2205210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2017,5,1,18,0.0044828824837935145,0.09621366746022478,3994.3835195670845
46,5,367.29985169622574,73.45997033924515,2020,8,7,26,26161,21,4,2205210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2016,5,1,18,0.01038391193911007,0.113389001020289,7850.896348967952
47,5,392.56334931271454,78.51266986254291,2020,8,7,26,26161,21,4,2205210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2015,5,1,18,0.014485366494268436,0.13342689017369727,9307.119715322271
48,5,364.0998652152451,72.81997304304902,2020,8,7,26,26161,21,4,2205210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2014,5,1,18,0.02077671761104752,0.15346477932710553,11606.396264786643
49,5,370.3959424661204,74.07918849322408,2020,8,7,26,26161,21,4,2205210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2013,5,1,18,0.027575544687018665,0.17350266848051377,13625.33275326219
50,5,316.43263381169584,63.286526762339165,2020,8,7,26,26161,21,4,2205210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2012,5,1,18,0.02801558920299158,0.19354055763392203,12409.576165896528
51,5,231.92053549096389,46.38410709819278,2020,8,7,26,26161,21,4,2205210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2011,5,1,18,0.04409232186439237,0.2135784467873303,17698.429143117308
52,5,230.10402906651655,46.02080581330331,2020,8,7,26,26161,21,4,2205210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2010,5,1,18,0.029634101454527665,0.2307537803473942,11009.614565442582
53,5,205.50535743034038,41.10107148606808,2020,8,7,26,26161,21,4,2205210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2009,5,1,18,0.024012904299961203,0.25079166950080245,8208.442491101128
54,5,253.9388285109485,50.7877657021897,2020,8,7,26,26161,21,4,2205210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2008,5,1,18,0.036645665737704856,0.2708295586542107,11599.93966103693
55,5,268.1829985315532,53.63659970631064,2020,8,7,26,26161,21,4,2205210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2007,5,1,18,0.024940124798058655,0.290867447807619,7350.76736212112
56,5,229.81669167512396,45.963338335024794,2020,8,7,26,26161,21,4,2205210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2006,5,1,18,0.026801257028875827,0.31090533696102723,7390.199507795778
57,5,203.39262514967626,40.67852502993525,2020,8,7,26,26161,21,4,2205210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2005,5,1,18,0.009858637175585118,0.3309432261144355,2553.833407521979
58,5,164.72170300101715,32.94434060020343,2020,8,7,26,26161,21,4,2205210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2004,5,1,18,0.005761750287422496,0.34811855967449973,1418.915165403364
