i1,out_dayID,out_SHO,out_activity,out_yearID,out_monthID,out_hourID,out_stateID,out_countyID,out_sourceTypeID,out_roadTypeID,out_SCC,out_zoneID,out_linkID,out_regClassID,out_fuelSubTypeID,out_engTechID,out_sectorID,out_hpID,out_modelYearID,out_fuelTypeID,out_pollutantID,out_processID,out_meanBaseRate,out_adjustedMeanBaseRate,out_emissionQuantDirect,out_emissionQuant
30,5,12.603265015943999,2.5206530031887997,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991,1,3,1,163.21307362817086,160.47021431734393,404.4897276413633,404.4897276413633
31,5,10.501237834887378,2.1002475669774756,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1990,1,3,1,163.50102565186808,160.75332719506028,337.62178432495944,337.62178432495944
32,5,10.217773915995503,2.0435547831991006,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1989,1,3,1,122.16931985875901,120.116216825877,245.46406943430122,245.46406943430122
33,5,9.15454189972411,1.830908379944822,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1988,1,3,1,122.24888149424095,120.19444139706737,220.06500997667746,220.06500997667746
34,5,9.00619255308734,1.801238510617468,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1987,1,3,1,120.71952384615243,118.6907852002866,213.79041315818205,213.79041315818205
35,5,7.780739775004618,1.5561479550009236,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1986,1,3,1,121.19453836607266,119.1578169160737,185.42719311632254,185.42719311632254
36,5,5.992761098455286,1.1985522196910572,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1985,1,3,1,132.2319130203415,130.00970418771706,155.82341953556602,155.82341953556602
37,5,4.779871405562617,0.9559742811125235,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1984,1,3,1,130.7806501696144,128.58283037479245,122.92187883095576,122.92187883095576
38,5,3.5629958872973577,0.7125991774594715,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1983,1,3,1,126.26968894568589,124.14767761227444,88.46753295001041,88.46753295001041
39,5,2.6061493961116446,0.5212298792223289,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1982,1,3,1,102.97876685066961,101.24816854016096,52.7735706596701,52.7735706596701
40,5,1.8323500164585729,0.3664700032917146,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1981,1,3,1,106.47412884890672,104.68478961778152,38.36383519582084,38.36383519582084
41,5,23.19180710506584,4.638361421013168,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1980,1,3,1,111.39047794684446,109.51851755309552,507.98646670483174,507.98646670483174
42,5,310.4463445557139,62.08926891114278,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2019,2,3,1,0.00007360316429416876,0.00007430595590047753,0.0046136024776042665,0.0046136024776042665
43,5,327.8141613006279,65.56283226012559,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2018,2,3,1,0.0009338439541037521,0.0009427606589606697,0.06181005894488385,0.06181005894488385
44,5,368.3242419642923,73.66484839285846,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2017,2,3,1,0.0011117810548374354,0.001122396772257818,0.08268118806500584,0.08268118806500584
