i1,out_cohortOrdinal,out_pointOrdinal,out_ageSlot,out_ppOrdinal,out_SCC,out_modelYearID,out_polProcessID,out_pollutantID,out_processID,out_yearID,out_monthID,out_dayID,out_countyID,out_hourID,out_stateID,out_fuelTypeID,out_zoneID,out_linkID,out_sourceTypeID,out_regClassID,out_fuelSubTypeID,out_engTechID,out_sectorID,out_hpID,out_emissionQuant
54,14,2,16,2,2265007010,2005,201,2,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.99598693847656
55,14,2,16,3,2265007010,2005,301,3,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0135806798934937
56,14,2,16,4,2265007010,2005,10001,100,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03546004742383957
57,15,2,17,1,2265007010,2004,101,1,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6609004735946655
58,15,2,17,2,2265007010,2004,201,2,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.979942321777344
59,15,2,17,3,2265007010,2004,301,3,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7819428443908691
60,15,2,17,4,2265007010,2004,10001,100,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02709060162305832
61,16,2,18,1,2265007010,2003,101,1,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.7827248573303223
62,16,2,18,2,2265007010,2003,201,2,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,142.76998901367188
63,16,2,18,3,2265007010,2003,301,3,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7145929336547852
64,16,2,18,4,2265007010,2003,10001,100,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.05893625319004059
65,17,4,22,1,2265007010,1999,101,1,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.17012247443199158
66,17,4,22,2,2265007010,1999,201,2,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.03251314163208
67,17,4,22,3,2265007010,1999,301,3,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.07721073180437088
68,17,4,22,4,2265007010,1999,10001,100,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002214862033724785
69,18,4,23,1,2265007010,1998,101,1,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.14765417575836182
70,18,4,23,2,2265007010,1998,201,2,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0789079666137695
71,18,4,23,3,2265007010,1998,301,3,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06601130962371826
72,18,4,23,4,2265007010,1998,10001,100,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001922338968142867
73,19,4,24,1,2265007010,1997,101,1,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.12904149293899536
74,19,4,24,2,2265007010,1997,201,2,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.292023181915283
75,19,4,24,3,2265007010,1997,301,3,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.056858230382204056
76,19,4,24,4,2265007010,1997,10001,100,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001680013258010149
77,20,4,25,1,2265007010,1996,101,1,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.12942302227020264
78,20,4,25,2,2265007010,1996,201,2,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.823294639587402
79,20,4,25,3,2265007010,1996,301,3,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.035587191581726074
80,20,4,25,4,2265007010,1996,10001,100,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0014613340608775616
81,21,4,26,1,2265007010,1995,101,1,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.12718121707439423
82,21,4,26,2,2265007010,1995,201,2,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.465334415435791
83,21,4,26,3,2265007010,1995,301,3,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.019506338983774185
84,21,4,26,4,2265007010,1995,10001,100,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0012174095027148724
85,22,4,27,1,2265007010,1994,101,1,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.11437991261482239
86,22,4,27,2,2265007010,1994,201,2,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.012627124786377
87,22,4,27,3,2265007010,1994,301,3,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0173586867749691
88,22,4,27,4,2265007010,1994,10001,100,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010943413944914937
89,23,4,28,1,2265007010,1993,101,1,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.09793836623430252
90,23,4,28,2,2265007010,1993,201,2,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4331271648406982
91,23,4,28,3,2265007010,1993,301,3,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.014711652882397175
92,23,4,28,4,2265007010,1993,10001,100,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0009366275044158101
93,24,4,29,1,2265007010,1992,101,1,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.04590170085430145
94,24,4,29,2,2265007010,1992,201,2,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6078031063079834
95,24,4,29,3,2265007010,1992,301,3,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006826503202319145
96,24,4,29,4,2265007010,1992,10001,100,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00043880718294531107
97,25,4,31,1,2265007010,1990,101,1,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0369744598865509
98,25,4,31,2,2265007010,1990,201,2,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2931991815567017
99,25,4,31,3,2265007010,1990,301,3,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0053941719233989716
100,25,4,31,4,2265007010,1990,10001,100,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00035323420888744295
101,26,4,32,1,2265007010,1989,101,1,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03022150509059429
102,26,4,32,2,2265007010,1989,201,2,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0562607049942017
103,26,4,32,3,2265007010,1989,301,3,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.004368370398879051
104,26,4,32,4,2265007010,1989,10001,100,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0002886420115828514
105,27,4,33,1,2265007010,1988,101,1,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.022032808512449265
106,27,4,33,2,2265007010,1988,201,2,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7695267796516418
107,27,4,33,3,2265007010,1988,301,3,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003156087826937437
108,27,4,33,4,2265007010,1988,10001,100,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00021038301929365844
109,28,4,34,1,2265007010,1987,101,1,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.016595102846622467
110,28,4,34,2,2265007010,1987,201,2,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5792142748832703
111,28,4,34,3,2265007010,1987,301,3,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002356271492317319
112,28,4,34,4,2265007010,1987,10001,100,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00015842796710785478
113,29,4,35,1,2265007010,1986,101,1,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011770540848374367
114,29,4,35,2,2265007010,1986,201,2,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.41055169701576233
115,29,4,35,3,2265007010,1986,301,3,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0016568913124501705
116,29,4,35,4,2265007010,1986,10001,100,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00011234983685426414
117,30,4,36,1,2265007010,1985,101,1,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0075793578289449215
118,30,4,36,2,2265007010,1985,201,2,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.26419347524642944
119,30,4,36,3,2265007010,1985,301,3,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010579475201666355
120,30,4,36,4,2265007010,1985,10001,100,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00007233435462694615
121,31,4,37,1,2265007010,1984,101,1,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0040411995723843575
122,31,4,37,2,2265007010,1984,201,2,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.14077453315258026
