i1,out_modelYearID,out_fuelTypeID,out_dayID,out_SHO,out_activity,out_meanBaseRate,out_adjustedMeanBaseRate,out_emissionQuantKilojoules,out_emissionQuant,out_yearID,out_monthID,out_hourID,out_stateID,out_countyID,out_sourceTypeID,out_roadTypeID,out_pollutantID,out_processID,out_SCC,out_zoneID,out_linkID,out_regClassID,out_fuelSubTypeID,out_engTechID,out_sectorID,out_hpID
19,2002,1,5,183.49998676876976,36.69999735375395,221035.40910588342,221035.40910588342,8111998.929271843,7.688691119846675,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,2001,1,5,146.32179760023757,29.264359520047513,221702.43857278768,221702.43857278768,6487979.868865308,6.149418119803233,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,2000,1,5,129.46798835129627,25.893597670259254,215739.59782024485,215739.59782024485,5586274.34750096,5.294766227553402,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,1999,1,5,94.2445360321913,18.848907206438263,216052.80164615245,216052.80164615245,4072359.2099193395,3.8598516058905874,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,1998,1,5,72.501436851349,14.500287370269799,214189.61342299508,214189.61342299508,3105810.946360426,2.943740655220662,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,1997,1,5,56.89248149254871,11.378496298509742,213534.9720884513,213534.9720884513,2429706.889510824,2.302917683803127,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,1996,1,5,41.59229376636794,8.318458753273587,216665.81661714258,216665.81661714258,1802325.6587740395,1.7082750390515224,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,1995,1,5,38.77685925137017,7.755371850274034,214058.8263221652,214058.8263221652,1660105.7959616184,1.5734766242827685,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1994,1,5,28.505496422381704,5.70109928447634,215822.72957639626,215822.72957639626,1230426.8091617234,1.1662195426438762,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1993,1,5,23.44953018216591,4.6899060364331815,212810.14827724156,212810.14827724156,998059.5990196756,0.9459779325623178,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1992,1,5,19.793724042698255,3.958744808539651,216001.15844490973,216001.15844490973,855093.464632337,0.8104721888502181,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1991,1,5,19.512226723933956,3.9024453447867913,210019.00526252252,210019.00526252252,819587.6894034836,0.7768192087295882,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1990,1,5,16.25789295528262,3.251578591056524,221139.8640680926,221139.8640680926,719053.6476329598,0.6815313270443393,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1989,1,5,15.819037448675724,3.1638074897351447,220356.54538392313,220356.54538392313,697165.6886978183,0.6607855457685401,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1988,1,5,14.1729541412639,2.83459082825278,218467.03122937863,218467.03122937863,619264.6429984104,0.5869496042801242,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1987,1,5,13.943281426910733,2.788656285382147,216139.49194662343,216139.49194662343,602738.7527362553,0.5712860832646453,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1986,1,5,12.046049843255599,2.40920996865112,219406.76280355387,219406.76280355387,528596.9601357937,0.5010132260629921,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1985,1,5,9.277922277084855,1.855584455416971,242014.0251818517,242014.0251818517,449077.46312033536,0.4256432887777181,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1984,1,5,7.400140714219595,1.480028142843919,241554.22117698807,241554.22117698807,357507.0453646869,0.3388512830122905,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1983,1,5,5.516188343372941,1.1032376686745882,238602.72782709583,238602.72782709583,263235.5171873625,0.24949911866031216,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,1982,1,5,4.034809855148089,0.8069619710296179,226035.7011559064,226035.7011559064,182402.2149278319,0.17288393432787008,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,1981,1,5,2.836822752954373,0.5673645505908745,276458.3589875284,276458.3589875284,156852.67260404973,0.14866764178471464,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,1980,1,5,35.90528309920591,7.181056619841182,293130.80776024837,293130.80776024837,2104988.9275461244,1.9951444540010859,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,2019,2,5,480.62938079334634,96.12587615866927,12.54158935555342,12.54158935555342,1205.5712652248128,0.001142661033623728,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,2018,2,5,507.5180304883093,101.50360609766186,139.72159086316998,139.72159086316998,14182.245322313876,0.013442174317317096,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,2017,2,5,570.2352611038926,114.04705222077853,152.7825726584394,152.7825726584394,17424.402042401925,0.01651514582535572,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
