i1,out_dayID,out_SHO,out_activity,out_yearID,out_monthID,out_hourID,out_stateID,out_countyID,out_sourceTypeID,out_roadTypeID,out_SCC,out_zoneID,out_linkID,out_regClassID,out_fuelSubTypeID,out_engTechID,out_sectorID,out_hpID,out_modelYearID,out_fuelTypeID,out_pollutantID,out_processID,out_meanBaseRate,out_adjustedMeanBaseRate,out_emissionQuantDirect,out_emissionQuant
11,5,230.10402906651655,46.02080581330331,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2010,1,91,1,246533.96228619723,246533.96228619723,10.753640261864158,10.753640261864158
12,5,205.50535743034038,41.10107148606808,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2009,1,91,1,243261.48273856725,243261.48273856725,9.476566684139454,9.476566684139454
13,5,253.9388285109485,50.7877657021897,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2008,1,91,1,247975.4093824673,247975.4093824673,11.936919163829444,11.936919163829444
14,5,268.1829985315532,53.63659970631064,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2007,1,91,1,252969.145929824,252969.145929824,12.86036580458462,12.86036580458462
15,5,229.81669167512396,45.963338335024794,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2006,1,91,1,251320.3589805774,251320.3589805774,10.9487304798771,10.9487304798771
16,5,203.39262514967626,40.67852502993525,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2005,1,91,1,251906.9066390769,251906.9066390769,9.712472492624562,9.712472492624562
17,5,164.72170300101715,32.94434060020343,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2004,1,91,1,252365.8571659795,252365.8571659795,7.8801765426251995,7.8801765426251995
18,5,148.74713474802425,29.74942694960485,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2003,1,91,1,252135.04003918517,252135.04003918517,7.109455484852918,7.109455484852918
19,5,118.52562992373574,23.70512598474715,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2002,1,91,1,251517.5318753453,251517.5318753453,5.651126902828293,5.651126902828293
20,5,94.5116320580201,18.90232641160402,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2001,1,91,1,252276.5487490785,252276.5487490785,4.519773474038688,4.519773474038688
21,5,83.62548218400153,16.725096436800307,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2000,1,91,1,245176.01087625307,245176.01087625307,3.8866115301524147,3.8866115301524147
22,5,60.874080684058114,12.174816136811623,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1999,1,91,1,245531.9495421404,245531.9495421404,2.833315600991822,2.833315600991822
23,5,46.82985881634186,9.365971763268373,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1998,1,91,1,243412.89160479966,243412.89160479966,2.1608317337366283,2.1608317337366283
24,5,36.74778034358123,7.349556068716247,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1997,1,91,1,242633.99587394297,242633.99587394297,1.6901968481975316,1.6901968481975316
25,5,26.865139913300695,5.373027982660139,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1996,1,91,1,246193.35885715004,246193.35885715004,1.2537760381080816,1.2537760381080816
26,5,25.04660490806586,5.009320981613172,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1995,1,91,1,243250.31164883616,243250.31164883616,1.1549330134322342,1.1549330134322342
27,5,18.41216437802274,3.6824328756045484,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1994,1,91,1,245183.6129474208,245183.6129474208,0.8557576872249928,0.8557576872249928
28,5,15.146433442304176,3.029286688460835,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1993,1,91,1,241757.13013380032,241757.13013380032,0.6941354066214075,0.6941354066214075
29,5,12.785088718582324,2.557017743716465,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1992,1,91,1,245343.88360079002,245343.88360079002,0.594611777138564,0.594611777138564
30,5,12.603265015943999,2.5206530031887997,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991,1,91,1,238570.76871926247,238570.76871926247,0.5699737091136776,0.5699737091136776
31,5,10.501237834887378,2.1002475669774756,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1990,1,91,1,250595.40133758463,250595.40133758463,0.4988478638477886,0.4988478638477886
32,5,10.217773915995503,2.0435547831991006,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1989,1,91,1,249808.42584722955,249808.42584722955,0.48385796764279854,0.48385796764279854
33,5,9.15454189972411,1.830908379944822,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1988,1,91,1,247659.03872273266,247659.03872273266,0.42977913242940996,0.42977913242940996
34,5,9.00619255308734,1.801238510617468,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1987,1,91,1,244883.40261890052,244883.40261890052,0.418075872006598,0.418075872006598
35,5,7.780739775004618,1.5561479550009236,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1986,1,91,1,248550.5790432846,248550.5790432846,0.36659808763924523,0.36659808763924523
36,5,5.992761098455286,1.1985522196910572,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1985,1,91,1,274630.1991640182,274630.1991640182,0.3119821753541505,0.3119821753541505
37,5,4.779871405562617,0.9559742811125235,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1984,1,91,1,274064.5144000546,274064.5144000546,0.2483267731425842,0.2483267731425842
38,5,3.5629958872973577,0.7125991774594715,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1983,1,91,1,270621.7765895322,270621.7765895322,0.1827816473044902,0.1827816473044902
39,5,2.6061493961116446,0.5212298792223289,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1982,1,91,1,256512.49808512066,256512.49808512066,0.12672501845250597,0.12672501845250597
40,5,1.8323500164585729,0.3664700032917146,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1981,1,91,1,314922.0051422512,314922.0051422512,0.10938706495183255,0.10938706495183255
41,5,23.19180710506584,4.638361421013168,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1980,1,91,1,333650.7858159108,333650.7858159108,1.4668350113195403,1.4668350113195403
42,5,310.4463445557139,62.08926891114278,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2019,2,91,1,14.27115131415233,14.27115131415233,0.0008398468286050176,0.0008398468286050176
43,5,327.8141613006279,65.56283226012559,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2018,2,91,1,158.99004076811866,158.99004076811866,0.00987989107867241,0.00987989107867241
44,5,368.3242419642923,73.66484839285846,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2017,2,91,1,173.85217864252905,173.85217864252905,0.012138498426926997,0.012138498426926997
45,5,367.29985169622574,73.45997033924515,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2016,2,91,1,166.24384675851078,166.24384675851078,0.011574996217700138,0.011574996217700138
46,5,392.56334931271454,78.51266986254291,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2015,2,91,1,2067.739931963591,2067.739931963591,0.15387220965245002,0.15387220965245002
47,5,364.0998652152451,72.81997304304902,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2014,2,91,1,2818.3368142073477,2818.3368142073477,0.19452164651826664,0.19452164651826664
48,5,370.3959424661204,74.07918849322408,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2013,2,91,1,2924.8112468335366,2924.8112468335366,0.20536129285783178,0.20536129285783178
49,5,316.43263381169584,63.286526762339165,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2012,2,91,1,2813.2069727116564,2813.2069727116564,0.1687475501217664,0.1687475501217664
50,5,231.92053549096389,46.38410709819278,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2011,2,91,1,3310.5289998712005,3310.5289998712005,0.14554293443759594,0.14554293443759594
51,5,230.10402906651655,46.02080581330331,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2010,2,91,1,2970.066026042266,2970.066026042266,0.12955221788455054,0.12955221788455054
52,5,205.50535743034038,41.10107148606808,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2009,2,91,1,2147.308988680662,2147.308988680662,0.0836512077193639,0.0836512077193639
53,5,253.9388285109485,50.7877657021897,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2008,2,91,1,192.5745496795816,192.5745496795816,0.009270059633173256,0.009270059633173256
54,5,268.1829985315532,53.63659970631064,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2007,2,91,1,129.78519124350032,129.78519124350032,0.006597978695284864,0.006597978695284864
55,5,229.81669167512396,45.963338335024794,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2006,2,91,1,1923.1798161208849,1923.1798161208849,0.08378301525772709,0.08378301525772709
56,5,203.39262514967626,40.67852502993525,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2005,2,91,1,1359.1520297477189,1359.1520297477189,0.0524031948085214,0.0524031948085214
57,5,164.72170300101715,32.94434060020343,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2004,2,91,1,936.0322347896996,936.0322347896996,0.02922780182138354,0.02922780182138354
58,5,148.74713474802425,29.74942694960485,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2003,2,91,1,1151.4508631842614,1151.4508631842614,0.03246747716434705,0.03246747716434705
59,5,118.52562992373574,23.70512598474715,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2002,2,91,1,1283.2137137892532,1283.2137137892532,0.028831403862799605,0.028831403862799605
60,5,94.5116320580201,18.90232641160402,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2001,2,91,1,928.1642047371505,928.1642047371505,0.016628941425291758,0.016628941425291758
61,5,83.62548218400153,16.725096436800307,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2000,2,91,1,855.6013447959389,855.6013447959389,0.013563276602849296,0.013563276602849296
62,5,60.874080684058114,12.174816136811623,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1999,2,91,1,520.237586356649,520.237586356649,0.006003280926964021,0.006003280926964021
63,5,46.82985881634186,9.365971763268373,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1998,2,91,1,611.272803815805,611.272803815805,0.005426408041690224,0.005426408041690224
64,5,36.74778034358123,7.349556068716247,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1997,2,91,1,251.2723745653093,251.2723745653093,0.0017503720943953876,0.0017503720943953876
65,5,26.865139913300695,5.373027982660139,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1996,2,91,1,344.27169863857245,344.27169863857245,0.0017532544677708432,0.0017532544677708432
